2026-06-27 16:08:08.826 | INFO     | __main__:_process_file:83 - Processing experimental-data/minus-docs/kilo/kilo.c
Verified editorDelChar; now running mutation testing on 25 mutants across up to 25 worker(s) (one CBMC run each, up to 10 min per mutant) -- this can take several minutes; do not interrupt.
[mutation testing] 1/25 done (killed=0 survived=1 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 2/25 done (killed=0 survived=2 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 3/25 done (killed=0 survived=3 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 4/25 done (killed=0 survived=4 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 5/25 done (killed=0 survived=5 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 6/25 done (killed=0 survived=6 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 7/25 done (killed=0 survived=7 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 8/25 done (killed=0 survived=8 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 9/25 done (killed=0 survived=9 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 10/25 done (killed=0 survived=10 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 11/25 done (killed=0 survived=11 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 12/25 done (killed=0 survived=12 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 13/25 done (killed=0 survived=13 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 14/25 done (killed=0 survived=14 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 15/25 done (killed=1 survived=14 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 16/25 done (killed=2 survived=14 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 17/25 done (killed=3 survived=14 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 18/25 done (killed=4 survived=14 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 19/25 done (killed=5 survived=14 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 20/25 done (killed=6 survived=14 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 21/25 done (killed=7 survived=14 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 22/25 done (killed=8 survived=14 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 23/25 done (killed=9 survived=14 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 24/25 done (killed=10 survived=14 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 25/25 done (killed=11 survived=14 timed_out=0 compile_failed=0 instrumentation_failed=0)
Verified editorInsertChar; now running mutation testing on 14 mutants across up to 14 worker(s) (one CBMC run each, up to 10 min per mutant) -- this can take several minutes; do not interrupt.
[mutation testing] 1/14 done (killed=0 survived=1 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 2/14 done (killed=0 survived=2 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 3/14 done (killed=0 survived=3 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 4/14 done (killed=0 survived=4 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 5/14 done (killed=0 survived=5 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 6/14 done (killed=0 survived=6 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 7/14 done (killed=0 survived=7 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 8/14 done (killed=0 survived=8 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 9/14 done (killed=0 survived=9 timed_out=0 compile_failed=0 instrumentation_failed=0)
[mutation testing] 10/14 done (killed=0 survived=10 timed_out=0 compile_failed=0 instrumentation_failed=0)
